"","Country","total_doses_delivered","quantity","Population","doses_per_million","quantity_per_million","Region","Industry","Subcategory","usa_quantity","usa_quantity_per_million"
"134","Togo",4e+05,0,8278737,48316.54877,0,"Sub-Saharan Africa",NA,NA,NA,NA
"135","UK",0,6.29e+10,67215293,0,936245267.9,"Western Europe","All Industries Total","All Industries Total",4.669474e+12,69470410550.7656
"136","Switzerland",0,4.83e+10,8636896,0,5589971212,"Western Europe","All Industries Total","All Industries Total",1.224485e+12,141773734452.748
"137","Germany",0,3.86e+10,83240525,0,464076842.4,"Western Europe","All Industries Total","All Industries Total",8.31558e+11,9989821664.38763
"138","France",0,1.86e+10,67391582,0,275850476.4,"Western Europe","All Industries Total","All Industries Total",4.79958e+11,7121928077.01116
"139","Finland",0,1.55e+10,5530719,0,2798912763,"Western Europe","All Industries Total","All Industries Total",2.0145e+10,3642383567.12753
"140","Netherlands",0,1.36e+10,17441139,0,778045516.4,"Western Europe","All Industries Total","All Industries Total",5.040709e+12,289012604050.687
"141","Sweden",0,1.01e+10,10353442,0,970691679.2,"Western Europe","All Industries Total","All Industries Total",2.54301e+11,24561976587.1099
"142","Spain",0,5.07e+09,47351567,0,107071430.2,"Western Europe","All Industries Total","All Industries Total",2.14444e+11,4528762480.02521
"143","Italy",0,4.33e+09,59554023,0,72707094.87,"Western Europe","All Industries Total","All Industries Total",1.81264e+11,3043690264.21607
"144","Luxembourg",0,4.33e+09,632275,0,6848285952,"Western Europe","All Industries Total","All Industries Total",4.18022e+12,6611395358032.5
"145","Greece",0,3.84e+09,10715549,0,358357747.2,"Western Europe","All Industries Total","All Industries Total",3.817e+09,356211333.642355
"146","Ireland",0,2.76e+09,4994724,0,552583085.7,"Western Europe","All Industries Total","All Industries Total",2.428077e+12,486128362648.266
"147","Norway",0,1.64e+09,5379475,0,304862463.3,"Western Europe","All Industries Total","All Industries Total",1.59276e+11,29608093726.6183
"148","Slovenia",0,1.39e+09,2100126,0,661865050,"Western Europe",NA,NA,NA,NA
"149","Portugal",0,9.5e+08,10305564,0,92183212.87,"Western Europe","All Industries Total","All Industries Total",1.411e+10,1369163298.58317
"150","Denmark",0,7.3e+08,5831404,0,125184260.9,"Western Europe","All Industries Total","All Industries Total",7.4484e+10,12772910263.1202
"151","Belgium",0,6.7e+08,11555997,0,57978554.34,"Western Europe","All Industries Total","All Industries Total",3.45002e+11,29854801796.8506
"152","Austria",0,2.3e+08,8917205,0,25792835.31,"Western Europe","All Industries Total","All Industries Total",4.0777e+10,4572845415.12727
"153","All Countries Total",NA,NA,NA,NA,NA,NA,"All Industries Total","All Industries Total",3.475742e+13,NA
"154","Bahamas",NA,NA,NA,NA,NA,NA,"All Industries Total","All Industries Total",0,NA
"155","Bermuda",NA,NA,NA,NA,NA,NA,"All Industries Total","All Industries Total",1.903257e+12,NA
"156","China",NA,NA,NA,NA,NA,NA,"All Industries Total","All Industries Total",6.39375e+11,NA
"157","Costa Rica",NA,NA,NA,NA,NA,NA,"All Industries Total","All Industries Total",1.0114e+10,NA
"158","Guatemala",NA,NA,NA,NA,NA,NA,"All Industries Total","All Industries Total",0,NA
"159","Honduras",NA,NA,NA,NA,NA,NA,"All Industries Total","All Industries Total",7.562e+09,NA
"160","Hong Kong",NA,NA,NA,NA,NA,NA,"All Industries Total","All Industries Total",4.8075e+11,NA
"161","Netherlands Antilles",NA,NA,NA,NA,NA,NA,"All Industries Total","All Industries Total",0,NA
